,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
0,117.68639649,37.22574338,0,707,1,3,2,1,zg,1575181460215,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.96095002,1.26300001,0.943064988,0,19.8768997,1536.5,1540.5,117.6864420096,37.22572719861,-0.0002810700554484,-9.120085571579e-06,9.24509370964e-06,-0.0002811225095966,118.24954009,37.6431558,117.15875011,37.67158093,117.12987612,36.80581331,118.20786919,36.77761751,2021-06-30 00:00:00+00,1
1,111.65641272,39.9889775,0,707,8,1,28,1,zg,1575181462815,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.92107999,1.26300001,0.943064988,0,19.9097996,1536.5,1540.5,111.6563981463,39.98895107079,-0.0002810697571191,1.100094211626e-05,-1.097972481967e-05,-0.0002810335326493,112.20120432,40.43712444,111.06720089,40.40324505,111.11837772,39.53807194,112.23844659,39.57155808,2021-06-30 00:00:00+00,1
2,115.3644334,38.11975165,0,707,2,2,5,1,zg,1575181460515,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.94964004,1.26300001,0.943064988,0,19.9200001,1536.5,1540.5,115.3644527996,38.11972472702,-0.0002812799535312,-1.292428579223e-06,1.267687367728e-06,-0.0002813103401769,115.91949933,38.54956957,114.81472171,38.55335524,114.81603618,37.6872093,115.90791636,37.68328493,2021-06-30 00:00:00+00,1
3,111.69990782,39.12335679,0,707,8,4,31,1,zg,1575181463115,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.88933003,1.26300001,0.943064988,0,19.9190998,1536.5,1540.5,111.6998986768,39.12337761902,-0.0002810905216814,1.076207735093e-05,-1.085609790721e-05,-0.0002810344362625,112.23838541,39.57156077,111.11839289,39.53806049,111.16812224,38.67277193,112.27427914,38.705939,2021-06-30 00:00:00+00,1
4,116.50407189,40.02338657,0,707,6,1,20,1,zg,1575181462015,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.92249,1.26300001,0.943064988,0,19.9325008,1536.5,1540.5,116.5040496844,40.02337539952,-0.0002812612136303,-4.875919080788e-06,4.9611042479e-06,-0.0002812547944514,117.08143906,40.44729759,115.94610539,40.46260775,115.93356747,39.59637121,117.05484604,39.5814588,2021-06-30 00:00:00+00,1
5,112.98322927,39.15267835,0,707,7,3,26,1,zg,1575181462615,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.86859,1.26300001,0.943064988,0,19.9204006,1536.5,1540.5,112.9832675454,39.15271587679,-0.000281221555027,6.700542375816e-06,-6.663142779445e-06,-0.0002812037095576,113.53053999,39.59476187,112.40946692,39.5740037,112.44313446,38.7083488,113.5501719,38.72856591,2021-06-30 00:00:00+00,1
6,116.4627898,38.11063107,0,707,2,1,4,1,zg,1575181460415,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.92920005,1.26300001,0.943064988,0,19.9221992,1536.5,1540.5,116.4627879025,38.11058388549,-0.000281233252959,-4.57611215322e-06,4.671155080943e-06,-0.0002812642995471,117.0239283,38.53504388,115.91947269,38.54956449,115.90790358,37.68328891,116.99949238,37.66914437,2021-06-30 00:00:00+00,1
7,114.07494532,41.08285475,0,707,11,4,43,1,zg,1575181464315,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.96794999,1.26300001,0.943064988,0,19.8899994,1536.5,1540.5,114.0749108733,41.0829044868,-0.0002812972732934,2.913455342038e-06,-2.942516097147e-06,-0.0002812950518948,114.64597284,41.51911748,113.49183616,41.51010002,113.51136298,40.64388871,114.6501773,40.65294896,2021-06-30 00:00:00+00,1
8,115.37011861,39.16658034,0,707,6,3,22,1,zg,1575181462215,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.90085006,1.26300001,0.943064988,0,19.8903008,1536.5,1540.5,115.3701659343,39.16662910227,-0.0002812926949842,-1.283339477661e-06,1.372437553256e-06,-0.0002813168843786,115.93356528,39.59637829,114.81199737,39.60048899,114.81390885,38.73433105,115.92142246,38.73010679,2021-06-30 00:00:00+00,1
9,114.08485524,40.03426298,0,707,7,1,24,1,zg,1575181462415,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.94736004,1.26300001,0.943064988,0,19.9078999,1536.5,1540.5,114.0848451342,40.03426031063,-0.0002812896646625,3.281267166958e-06,-3.227958679467e-06,-0.0002812946400864,114.64599012,40.47083482,113.51031757,40.46097793,113.53054609,39.59475237,114.65206209,39.60469432,2021-06-30 00:00:00+00,1
